Energy Loss (eV),Intensity (u.a.)
-7.05E+00,2.32E+03
-7.00E+00,2.16E+03
-6.95E+00,1.90E+03
-6.90E+00,1.88E+03
-6.85E+00,1.63E+03
-6.80E+00,1.54E+03
-6.75E+00,1.51E+03
-6.70E+00,1.35E+03
-6.65E+00,1.32E+03
-6.60E+00,1.25E+03
-6.55E+00,1.36E+03
-6.50E+00,1.26E+03
-6.45E+00,1.16E+03
-6.40E+00,1.12E+03
-6.35E+00,1.10E+03
-6.30E+00,1.02E+03
-6.25E+00,1.01E+03
-6.20E+00,9.88E+02
-6.15E+00,9.41E+02
-6.10E+00,9.91E+02
-6.05E+00,9.44E+02
-6.00E+00,9.43E+02
-5.95E+00,9.24E+02
-5.90E+00,9.52E+02
-5.85E+00,8.80E+02
-5.80E+00,8.18E+02
-5.75E+00,8.19E+02
-5.70E+00,8.48E+02
-5.65E+00,8.69E+02
-5.60E+00,9.69E+02
-5.55E+00,9.73E+02
-5.50E+00,9.72E+02
-5.45E+00,9.02E+02
-5.40E+00,9.02E+02
-5.35E+00,8.62E+02
-5.30E+00,9.41E+02
-5.25E+00,9.56E+02
-5.20E+00,9.30E+02
-5.15E+00,9.02E+02
-5.10E+00,9.33E+02
-5.05E+00,9.03E+02
-5.00E+00,9.14E+02
-4.95E+00,8.75E+02
-4.90E+00,9.74E+02
-4.85E+00,9.93E+02
-4.80E+00,9.35E+02
-4.75E+00,1.04E+03
-4.70E+00,9.40E+02
-4.65E+00,9.38E+02
-4.60E+00,9.66E+02
-4.55E+00,9.40E+02
-4.50E+00,9.52E+02
-4.45E+00,8.79E+02
-4.40E+00,8.74E+02
-4.35E+00,8.31E+02
-4.30E+00,1.01E+03
-4.25E+00,9.43E+02
-4.20E+00,9.40E+02
-4.15E+00,8.11E+02
-4.10E+00,8.48E+02
-4.05E+00,8.54E+02
-4.00E+00,8.75E+02
-3.95E+00,9.08E+02
-3.90E+00,8.79E+02
-3.85E+00,9.11E+02
-3.80E+00,8.99E+02
-3.75E+00,8.94E+02
-3.70E+00,8.83E+02
-3.65E+00,8.97E+02
-3.60E+00,8.78E+02
-3.55E+00,8.75E+02
-3.50E+00,8.19E+02
-3.45E+00,8.92E+02
-3.40E+00,7.74E+02
-3.35E+00,8.79E+02
-3.30E+00,9.35E+02
-3.25E+00,9.33E+02
-3.20E+00,8.64E+02
-3.15E+00,9.30E+02
-3.10E+00,9.21E+02
-3.05E+00,8.86E+02
-3.00E+00,8.73E+02
-2.95E+00,9.04E+02
-2.90E+00,1.00E+03
-2.85E+00,8.95E+02
-2.80E+00,8.60E+02
-2.75E+00,9.77E+02
-2.70E+00,8.80E+02
-2.65E+00,9.02E+02
-2.60E+00,9.21E+02
-2.55E+00,9.18E+02
-2.50E+00,8.25E+02
-2.45E+00,8.37E+02
-2.40E+00,9.56E+02
-2.35E+00,9.45E+02
-2.30E+00,9.48E+02
-2.25E+00,9.41E+02
-2.20E+00,9.27E+02
-2.15E+00,9.11E+02
-2.10E+00,9.20E+02
-2.05E+00,9.19E+02
-2.00E+00,9.98E+02
-1.95E+00,1.08E+03
-1.90E+00,1.07E+03
-1.85E+00,1.00E+03
-1.80E+00,1.08E+03
-1.75E+00,1.08E+03
-1.70E+00,1.02E+03
-1.65E+00,1.12E+03
-1.60E+00,9.63E+02
-1.55E+00,1.07E+03
-1.50E+00,1.13E+03
-1.45E+00,1.11E+03
-1.40E+00,1.13E+03
-1.35E+00,1.10E+03
-1.30E+00,1.09E+03
-1.25E+00,1.09E+03
-1.20E+00,1.11E+03
-1.15E+00,1.07E+03
-1.10E+00,1.06E+03
-1.05E+00,1.18E+03
-1.00E+00,1.17E+03
-9.50E-01,1.18E+03
-9.00E-01,1.22E+03
-8.50E-01,1.16E+03
-8.00E-01,1.21E+03
-7.50E-01,1.25E+03
-7.00E-01,1.19E+03
-6.50E-01,1.30E+03
-6.00E-01,1.22E+03
-5.50E-01,1.29E+03
-5.00E-01,1.23E+03
-4.50E-01,1.22E+03
-4.00E-01,1.17E+03
-3.50E-01,1.26E+03
-3.00E-01,1.21E+03
-2.50E-01,1.19E+03
-2.00E-01,1.17E+03
-1.50E-01,1.23E+03
-1.00E-01,1.16E+03
-5.00E-02,1.20E+03
2.61E-07,1.21E+03
5.00E-02,1.24E+03
1.00E-01,1.26E+03
1.50E-01,1.14E+03
2.00E-01,1.23E+03
2.50E-01,1.18E+03
3.00E-01,1.20E+03
3.50E-01,1.09E+03
4.00E-01,1.07E+03
4.50E-01,1.20E+03
5.00E-01,9.95E+02
5.50E-01,1.12E+03
6.00E-01,1.07E+03
6.50E-01,1.04E+03
7.00E-01,1.01E+03
7.50E-01,9.68E+02
8.00E-01,1.02E+03
8.50E-01,9.37E+02
9.00E-01,1.05E+03
9.50E-01,9.48E+02
1.00E+00,9.83E+02
1.05E+00,9.77E+02
1.10E+00,1.01E+03
1.15E+00,1.05E+03
1.20E+00,1.03E+03
1.25E+00,9.96E+02
1.30E+00,9.17E+02
1.35E+00,1.02E+03
1.40E+00,9.86E+02
1.45E+00,9.77E+02
1.50E+00,1.01E+03
1.55E+00,9.64E+02
1.60E+00,1.05E+03
1.65E+00,9.76E+02
1.70E+00,1.02E+03
1.75E+00,1.00E+03
1.80E+00,8.74E+02
1.85E+00,9.17E+02
1.90E+00,9.63E+02
1.95E+00,8.41E+02
2.00E+00,8.27E+02
2.05E+00,8.45E+02
2.10E+00,9.02E+02
2.15E+00,9.69E+02
2.20E+00,9.07E+02
2.25E+00,8.88E+02
2.30E+00,9.28E+02
2.35E+00,8.41E+02
2.40E+00,8.13E+02
2.45E+00,8.43E+02
2.50E+00,9.30E+02
2.55E+00,9.51E+02
2.60E+00,9.17E+02
2.65E+00,9.17E+02
2.70E+00,1.03E+03
2.75E+00,9.14E+02
2.80E+00,9.24E+02
2.85E+00,8.93E+02
2.90E+00,8.89E+02
2.95E+00,9.60E+02
3.00E+00,9.38E+02
3.05E+00,8.69E+02
3.10E+00,9.66E+02
3.15E+00,9.41E+02
3.20E+00,9.46E+02
3.25E+00,7.81E+02
3.30E+00,1.09E+03
3.35E+00,8.60E+02
