Energy Loss (eV),Intensity (u.a.)
3.06E+01,1.40E+03
3.07E+01,1.49E+03
3.07E+01,1.43E+03
3.08E+01,1.44E+03
3.08E+01,1.45E+03
3.09E+01,1.48E+03
3.09E+01,1.41E+03
3.10E+01,1.44E+03
3.10E+01,1.46E+03
3.11E+01,1.50E+03
3.11E+01,1.40E+03
3.12E+01,1.44E+03
3.12E+01,1.48E+03
3.13E+01,1.43E+03
3.13E+01,1.45E+03
3.14E+01,1.41E+03
3.14E+01,1.41E+03
3.15E+01,1.41E+03
3.15E+01,1.44E+03
3.16E+01,1.44E+03
3.16E+01,1.51E+03
3.17E+01,1.48E+03
3.17E+01,1.50E+03
3.18E+01,1.40E+03
3.18E+01,1.45E+03
3.19E+01,1.44E+03
3.19E+01,1.48E+03
3.20E+01,1.44E+03
3.20E+01,1.48E+03
3.21E+01,1.46E+03
3.21E+01,1.48E+03
3.22E+01,1.49E+03
3.22E+01,1.42E+03
3.23E+01,1.44E+03
3.23E+01,1.47E+03
3.24E+01,1.46E+03
3.24E+01,1.43E+03
3.25E+01,1.48E+03
3.25E+01,1.46E+03
3.26E+01,1.35E+03
3.26E+01,1.43E+03
3.27E+01,1.42E+03
3.27E+01,1.40E+03
3.28E+01,1.51E+03
3.28E+01,1.40E+03
3.29E+01,1.43E+03
3.29E+01,1.45E+03
3.30E+01,1.46E+03
3.30E+01,1.47E+03
3.31E+01,1.36E+03
3.31E+01,1.36E+03
3.32E+01,1.35E+03
3.32E+01,1.39E+03
3.33E+01,1.35E+03
3.33E+01,1.40E+03
3.34E+01,1.41E+03
3.34E+01,1.45E+03
3.35E+01,1.32E+03
3.35E+01,1.43E+03
3.36E+01,1.38E+03
3.36E+01,1.38E+03
3.37E+01,1.44E+03
#ENDOFDATA   : End Of Data and File,
